title,company_profile,description,requirements,benefits,fraud
Software Engineer,Leading IT Company,Looking for a software engineer with experience in Python and web development.,Strong programming skills required.,Health insurance and paid leave,0
Data Analyst,Analytics Firm,Analyze datasets and generate business insights using Python and SQL.,Experience in data analysis tools.,Flexible working hours,0
Web Developer,Startup Company,Develop and maintain company websites and web applications.,HTML CSS JavaScript required.,Career growth opportunities,0
HR Executive,Corporate Firm,Manage recruitment process and employee relations.,Good communication skills.,Paid holidays and bonuses,0
Marketing Manager,Advertising Agency,Plan and execute marketing strategies across digital platforms.,Experience in digital marketing.,Performance incentives,0
Customer Support Executive,Service Company,Handle customer queries through email and phone.,Good communication required.,Night shift allowance,0
Intern Software Developer,Tech Startup,Assist senior developers in coding and testing.,Basic knowledge of Python.,Internship certificate,0
Accountant,Finance Company,Maintain financial records and prepare reports.,Knowledge of accounting standards.,Medical benefits,0
Project Manager,IT Services,Manage software projects and coordinate with teams.,Project management experience.,Paid leave and insurance,0
Graphic Designer,Design Studio,Create visual content for marketing campaigns.,Adobe Photoshop and Illustrator.,Creative work environment,0
Work from Home Job,,Earn money easily from home without any experience.,No skills required.,High income guaranteed,1
Data Entry Operator,,Simple typing work earn daily income.,No experience needed.,Weekly payments,1
Online Job Opportunity,,Make money online just by using mobile.,No qualifications required.,Instant joining bonus,1
Part Time Job,,Earn up to 5000 per day working few hours.,No interviews.,Fast payments,1
Work From Home Offer,,No registration fee work from home.,Anyone can apply.,Unlimited earnings,1
Urgent Hiring,,Immediate hiring for online jobs.,No skills required.,High salary,1
Easy Money Job,,Get paid for simple tasks.,No background check.,Guaranteed income,1
Online Survey Job,,Participate in surveys and earn money.,No experience.,Quick cash,1
Typing Job,,Work from home typing job.,No qualifications.,Daily payments,1
Home Based Job,,Earn money sitting at home.,No skills needed.,Instant payout,1
